"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2004/05","S08000028","SMR04"," ",160,160,150,100,"40"," "
"2004/05","SB0802","Total","d",310,310,20,170,"230"," "
"2004/05","SB0802","SMR01"," ",0,0,0,0," ",":"
"2004/05","SB0802","SMR04"," ",310,310,20,170,"230"," "
"2005/06","S08000015","Total","d",2730,2750,2510,1930,"340"," "
"2005/06","S08000015","SMR01"," ",800,800,760,640," ",":"
"2005/06","S08000015","SMR04"," ",1930,1950,1760,1370,"340"," "
"2005/06","S08000016","Total","d",920,920,800,610,"110"," "
"2005/06","S08000016","SMR01"," ",300,300,250,220," ",":"
"2005/06","S08000016","SMR04"," ",630,630,550,420,"110"," "
"2005/06","S08000017","Total","d",900,890,800,650,"150"," "
"2005/06","S08000017","SMR01"," ",200,200,170,160," ",":"
"2005/06","S08000017","SMR04"," ",700,680,630,510,"150"," "
"2005/06","S08000029","Total","d",2060,2090,1810,1450,"320"," "
"2005/06","S08000029","SMR01"," ",290,290,230,220," ",":"
"2005/06","S08000029","SMR04"," ",1770,1800,1580,1250,"320"," "
"2005/06","S08000019","Total","d",1520,1550,1230,1060,"250"," "
"2005/06","S08000019","SMR01"," ",270,270,230,220," ",":"
"2005/06","S08000019","SMR04"," ",1260,1280,990,850,"250"," "
"2005/06","S08000020","Total","d",2670,2710,2420,2020,"440"," "
"2005/06","S08000020","SMR01"," ",730,720,660,580," ",":"
"2005/06","S08000020","SMR04"," ",1940,1990,1770,1480,"440"," "
"2005/06","S08000031","Total","d",9580,9630,8350,6620,"1430"," "
"2005/06","S08000031","SMR01"," ",2910,2910,2340,2040," ",":"
"2005/06","S08000031","SMR04"," ",6680,6720,6010,4800,"1430"," "
"2005/06","S08000022","Total","d",2420,2450,2270,1740,"270"," "
"2005/06","S08000022","SMR01"," ",1000,1000,880,730," ",":"
"2005/06","S08000022","SMR04"," ",1420,1450,1390,1100,"270"," "
"2005/06","S08000032","Total","d",3640,3660,3080,2440,"510"," "
"2005/06","S08000032","SMR01"," ",1000,1000,760,660," ",":"
"2005/06","S08000032","SMR04"," ",2640,2650,2320,1870,"510"," "
"2005/06","S08000024","Total","d",6080,6140,5240,4010,"730"," "
"2005/06","S08000024","SMR01"," ",1510,1510,1200,1080," ",":"
"2005/06","S08000024","SMR04"," ",4560,4640,4040,3070,"730"," "
"2005/06","S08000025","Total","d",50,50,50,40,"0"," "
"2005/06","S08000025","SMR01"," ",50,50,50,40," ",":"
"2005/06","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2005/06","S08000026","Total","d",60,60,60,50,"0"," "
"2005/06","S08000026","SMR01"," ",60,60,60,50," ",":"
"2005/06","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2005/06","S08000030","Total","d",2580,2610,2410,1920,"390"," "
"2005/06","S08000030","SMR01"," ",440,450,440,410," ",":"
"2005/06","S08000030","SMR04"," ",2140,2160,1960,1560,"390"," "
"2005/06","S08000028","Total","d",370,380,370,270,"40"," "
"2005/06","S08000028","SMR01"," ",210,210,210,170," ",":"
"2005/06","S08000028","SMR04"," ",160,170,160,120,"40"," "
"2005/06","SB0802","Total","d",210,230,30,150,"210"," "
"2005/06","SB0802","SMR01"," ",0,0,0,0," ",":"
"2005/06","SB0802","SMR04"," ",210,230,30,150,"210"," "
"2006/07","S08000015","Total","d",2540,2560,2360,1840,"330"," "
"2006/07","S08000015","SMR01"," ",800,800,770,660," ",":"
"2006/07","S08000015","SMR04"," ",1750,1760,1590,1250,"330"," "
"2006/07","S08000016","Total","d",1130,1140,1010,680,"110"," "
"2006/07","S08000016","SMR01"," ",330,340,300,270," ",":"
"2006/07","S08000016","SMR04"," ",800,800,710,440,"110"," "
"2006/07","S08000017","Total","d",850,870,790,650,"120"," "
"2006/07","S08000017","SMR01"," ",240,230,200,190," ",":"
"2006/07","S08000017","SMR04"," ",610,640,590,490,"120"," "
"2006/07","S08000029","Total","d",2050,2040,1750,1360,"330"," "
"2006/07","S08000029","SMR01"," ",410,410,310,290," ",":"
"2006/07","S08000029","SMR04"," ",1640,1630,1440,1120,"330"," "
"2006/07","S08000019","Total","d",1450,1460,1180,990,"240"," "
"2006/07","S08000019","SMR01"," ",280,280,220,200," ",":"
"2006/07","S08000019","SMR04"," ",1170,1180,950,810,"240"," "
"2006/07","S08000020","Total","d",2720,2760,2500,2060,"400"," "
"2006/07","S08000020","SMR01"," ",740,750,700,610," ",":"
"2006/07","S08000020","SMR04"," ",1980,2020,1790,1520,"400"," "
"2006/07","S08000031","Total","d",9760,9790,8410,6760,"1390"," "
"2006/07","S08000031","SMR01"," ",3510,3500,2830,2480," ",":"
"2006/07","S08000031","SMR04"," ",6260,6290,5590,4520,"1390"," "
"2006/07","S08000022","Total","d",2540,2550,2270,1720,"260"," "
"2006/07","S08000022","SMR01"," ",1140,1140,940,760," ",":"
"2006/07","S08000022","SMR04"," ",1400,1410,1330,1080,"260"," "
"2006/07","S08000032","Total","d",3810,3870,3180,2490,"460"," "
"2006/07","S08000032","SMR01"," ",1170,1180,890,730," ",":"
"2006/07","S08000032","SMR04"," ",2640,2700,2290,1850,"460"," "
"2006/07","S08000024","Total","d",5850,5860,4940,3820,"710"," "
"2006/07","S08000024","SMR01"," ",1730,1730,1320,1180," ",":"
"2006/07","S08000024","SMR04"," ",4120,4140,3620,2800,"710"," "
"2006/07","S08000025","Total","d",60,50,50,40,"0"," "
"2006/07","S08000025","SMR01"," ",60,50,50,40," ",":"
"2006/07","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2006/07","S08000026","Total","d",80,80,80,60,"0"," "
"2006/07","S08000026","SMR01"," ",80,80,80,60," ",":"
"2006/07","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2006/07","S08000030","Total","d",2440,2440,2260,1820,"380"," "
"2006/07","S08000030","SMR01"," ",430,430,410,380," ",":"
"2006/07","S08000030","SMR04"," ",2000,2010,1850,1480,"380"," "
"2006/07","S08000028","Total","d",340,350,330,250,"30"," "
"2006/07","S08000028","SMR01"," ",230,230,230,170," ",":"
"2006/07","S08000028","SMR04"," ",110,110,100,80,"30"," "
"2006/07","SB0802","Total","d",130,140,20,110,"200"," "
"2006/07","SB0802","SMR01"," ",0,0,0,0," ",":"
"2006/07","SB0802","SMR04"," ",130,140,20,110,"200"," "
"2007/08","S08000015","Total","d",2600,2630,2390,1850,"300"," "
"2007/08","S08000015","SMR01"," ",870,860,820,690," ",":"
"2007/08","S08000015","SMR04"," ",1730,1760,1570,1240,"300"," "
"2007/08","S08000016","Total","d",1000,1020,920,640,"90"," "
"2007/08","S08000016","SMR01"," ",300,300,260,230," ",":"
"2007/08","S08000016","SMR04"," ",700,720,660,440,"90"," "
"2007/08","S08000017","Total","d",920,920,830,680,"110"," "
"2007/08","S08000017","SMR01"," ",310,300,250,230," ",":"
"2007/08","S08000017","SMR04"," ",610,620,580,480,"110"," "
"2007/08","S08000029","Total","d",2110,2150,1780,1400,"300"," "
"2007/08","S08000029","SMR01"," ",580,590,410,380," ",":"
"2007/08","S08000029","SMR04"," ",1530,1560,1370,1070,"300"," "
"2007/08","S08000019","Total","d",1440,1450,1180,970,"220"," "
"2007/08","S08000019","SMR01"," ",300,300,240,220," ",":"
"2007/08","S08000019","SMR04"," ",1140,1150,950,780,"220"," "
"2007/08","S08000020","Total","d",2800,2840,2540,2010,"360"," "
"2007/08","S08000020","SMR01"," ",900,900,810,670," ",":"
"2007/08","S08000020","SMR04"," ",1900,1940,1730,1400,"360"," "
"2007/08","S08000031","Total","d",9900,10010,8620,6800,"1280"," "
"2007/08","S08000031","SMR01"," ",3790,3790,2980,2510," ",":"
"2007/08","S08000031","SMR04"," ",6110,6220,5630,4510,"1280"," "
"2007/08","S08000022","Total","d",2540,2560,2310,1820,"240"," "
"2007/08","S08000022","SMR01"," ",1180,1180,990,790," ",":"
"2007/08","S08000022","SMR04"," ",1360,1380,1320,1100,"240"," "
"2007/08","S08000032","Total","d",4050,4040,3240,2500,"450"," "
"2007/08","S08000032","SMR01"," ",1600,1590,1150,900," ",":"
"2007/08","S08000032","SMR04"," ",2450,2450,2090,1680,"450"," "
"2007/08","S08000024","Total","d",5830,5840,4920,3890,"690"," "
"2007/08","S08000024","SMR01"," ",1960,1950,1510,1320," ",":"
"2007/08","S08000024","SMR04"," ",3870,3880,3410,2740,"690"," "
"2007/08","S08000025","Total","d",60,60,60,50,"0"," "
"2007/08","S08000025","SMR01"," ",60,60,60,50," ",":"
"2007/08","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2007/08","S08000026","Total","d",70,70,70,60,"0"," "
"2007/08","S08000026","SMR01"," ",70,70,70,60," ",":"
"2007/08","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2007/08","S08000030","Total","d",2610,2640,2470,1960,"360"," "
"2007/08","S08000030","SMR01"," ",510,510,490,450," ",":"
"2007/08","S08000030","SMR04"," ",2100,2130,1980,1570,"360"," "
"2007/08","S08000028","Total","d",250,260,250,200,"20"," "
"2007/08","S08000028","SMR01"," ",160,160,150,120," ",":"
"2007/08","S08000028","SMR04"," ",90,100,90,80,"20"," "
"2007/08","SB0802","Total","d",100,120,30,110,"180"," "
"2007/08","SB0802","SMR01"," ",0,0,0,0," ",":"
"2007/08","SB0802","SMR04"," ",100,120,30,110,"180"," "
"2008/09","S08000015","Total","d",2420,2460,2240,1730,"270"," "
"2008/09","S08000015","SMR01"," ",810,820,780,640," ",":"
"2008/09","S08000015","SMR04"," ",1610,1640,1460,1200,"270"," "
"2008/09","S08000016","Total","d",970,970,880,650,"90"," "
"2008/09","S08000016","SMR01"," ",300,300,280,240," ",":"
"2008/09","S08000016","SMR04"," ",670,670,600,440,"90"," "
"2008/09","S08000017","Total","d",870,890,800,650,"100"," "
"2008/09","S08000017","SMR01"," ",280,290,240,220," ",":"
"2008/09","S08000017","SMR04"," ",590,600,560,460,"100"," "
"2008/09","S08000029","Total","d",2060,2080,1760,1400,"270"," "
"2008/09","S08000029","SMR01"," ",590,600,400,370," ",":"
"2008/09","S08000029","SMR04"," ",1470,1490,1360,1070,"270"," "
"2008/09","S08000019","Total","d",1460,1470,1290,1040,"220"," "
"2008/09","S08000019","SMR01"," ",320,330,260,250," ",":"
"2008/09","S08000019","SMR04"," ",1140,1140,1030,820,"220"," "
"2008/09","S08000020","Total","d",2800,2840,2570,2080,"310"," "
"2008/09","S08000020","SMR01"," ",920,920,820,690," ",":"
"2008/09","S08000020","SMR04"," ",1870,1920,1740,1440,"310"," "
"2008/09","S08000031","Total","d",10350,10470,8980,7020,"1180"," "
"2008/09","S08000031","SMR01"," ",4010,4030,3150,2570," ",":"
"2008/09","S08000031","SMR04"," ",6340,6440,5830,4730,"1180"," "
"2008/09","S08000022","Total","d",2510,2530,2310,1810,"230"," "
"2008/09","S08000022","SMR01"," ",1170,1180,1000,850," ",":"
"2008/09","S08000022","SMR04"," ",1340,1350,1310,1070,"230"," "
"2008/09","S08000032","Total","d",4080,4110,3350,2620,"430"," "
"2008/09","S08000032","SMR01"," ",1640,1650,1180,910," ",":"
"2008/09","S08000032","SMR04"," ",2430,2460,2180,1810,"430"," "
"2008/09","S08000024","Total","d",5530,5560,4660,3740,"670"," "
"2008/09","S08000024","SMR01"," ",1960,1970,1430,1280," ",":"
"2008/09","S08000024","SMR04"," ",3560,3590,3230,2620,"670"," "
"2008/09","S08000025","Total","d",50,50,50,40,"0"," "
"2008/09","S08000025","SMR01"," ",50,50,50,40," ",":"
"2008/09","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2008/09","S08000026","Total","d",60,60,60,50,"0"," "
"2008/09","S08000026","SMR01"," ",60,60,60,50," ",":"
"2008/09","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2008/09","S08000030","Total","d",2700,2710,2520,2040,"350"," "
"2008/09","S08000030","SMR01"," ",540,530,490,450," ",":"
"2008/09","S08000030","SMR04"," ",2160,2170,2030,1650,"350"," "
"2008/09","S08000028","Total","d",240,230,220,180,"30"," "
"2008/09","S08000028","SMR01"," ",140,140,140,110," ",":"
"2008/09","S08000028","SMR04"," ",100,90,90,80,"30"," "
"2008/09","SB0802","Total","d",120,140,30,90,"150"," "
"2008/09","SB0802","SMR01"," ",0,0,0,0," ",":"
"2008/09","SB0802","SMR04"," ",120,140,30,90,"150"," "
"2009/10","S08000015","Total","d",2530,2520,2250,1730,"270"," "
"2009/10","S08000015","SMR01"," ",900,890,830,650," ",":"
"2009/10","S08000015","SMR04"," ",1640,1630,1420,1180,"270"," "
"2009/10","S08000016","Total","d",820,830,750,560,"80"," "
"2009/10","S08000016","SMR01"," ",250,250,220,190," ",":"
"2009/10","S08000016","SMR04"," ",560,570,520,390,"80"," "
"2009/10","S08000017","Total","d",900,910,800,650,"90"," "
"2009/10","S08000017","SMR01"," ",250,240,190,180," ",":"
"2009/10","S08000017","SMR04"," ",650,670,610,490,"90"," "
"2009/10","S08000029","Total","d",2210,2190,1770,1460,"290"," "
"2009/10","S08000029","SMR01"," ",650,640,420,400," ",":"
"2009/10","S08000029","SMR04"," ",1560,1550,1350,1110,"290"," "
"2009/10","S08000019","Total","d",1370,1400,1210,1000,"200"," "
"2009/10","S08000019","SMR01"," ",310,310,250,220," ",":"
"2009/10","S08000019","SMR04"," ",1060,1080,960,800,"200"," "
"2009/10","S08000020","Total","d",2850,2870,2540,2000,"300"," "
"2009/10","S08000020","SMR01"," ",1040,1040,840,700," ",":"
"2009/10","S08000020","SMR04"," ",1820,1820,1700,1360,"300"," "
"2009/10","S08000031","Total","d",9460,9510,8100,6430,"1110"," "
"2009/10","S08000031","SMR01"," ",3840,3840,3110,2550," ",":"
"2009/10","S08000031","SMR04"," ",5610,5680,5000,4130,"1110"," "
"2009/10","S08000022","Total","d",2210,2180,1970,1580,"250"," "
"2009/10","S08000022","SMR01"," ",990,980,820,670," ",":"
"2009/10","S08000022","SMR04"," ",1220,1200,1150,990,"250"," "
"2009/10","S08000032","Total","d",3790,3820,3060,2540,"400"," "
"2009/10","S08000032","SMR01"," ",1460,1460,1000,830," ",":"
"2009/10","S08000032","SMR04"," ",2330,2360,2070,1770,"400"," "
"2009/10","S08000024","Total","d",5330,5330,4420,3550,"660"," "
"2009/10","S08000024","SMR01"," ",2010,2000,1440,1300," ",":"
"2009/10","S08000024","SMR04"," ",3320,3330,2980,2410,"660"," "
"2009/10","S08000025","Total","d",60,60,60,50,"0"," "
"2009/10","S08000025","SMR01"," ",60,60,60,50," ",":"
"2009/10","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2009/10","S08000026","Total","d",50,50,50,50,"0"," "
"2009/10","S08000026","SMR01"," ",50,50,50,50," ",":"
"2009/10","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2009/10","S08000030","Total","d",2650,2660,2470,2030,"340"," "
"2009/10","S08000030","SMR01"," ",490,490,480,440," ",":"
"2009/10","S08000030","SMR04"," ",2160,2170,1990,1650,"340"," "
"2009/10","S08000028","Total","d",200,200,190,160,"20"," "
"2009/10","S08000028","SMR01"," ",140,140,130,110," ",":"
"2009/10","S08000028","SMR04"," ",60,70,60,60,"20"," "
"2009/10","SB0802","Total","d",140,160,10,100,"140"," "
"2009/10","SB0802","SMR01"," ",0,0,0,0," ",":"
"2009/10","SB0802","SMR04"," ",140,160,10,100,"140"," "
"2010/11","S08000015","Total","d",2610,2610,2270,1810,"280"," "
"2010/11","S08000015","SMR01"," ",970,970,870,710," ",":"
"2010/11","S08000015","SMR04"," ",1650,1640,1400,1200,"280"," "
"2010/11","S08000016","Total","d",860,860,770,590,"80"," "
"2010/11","S08000016","SMR01"," ",300,300,270,230," ",":"
"2010/11","S08000016","SMR04"," ",550,560,500,380,"80"," "
"2010/11","S08000017","Total","d",1070,1080,950,690,"80"," "
"2010/11","S08000017","SMR01"," ",330,330,260,220," ",":"
"2010/11","S08000017","SMR04"," ",740,750,700,510,"80"," "
"2010/11","S08000029","Total","d",2150,2170,1640,1400,"280"," "
"2010/11","S08000029","SMR01"," ",700,710,460,410," ",":"
"2010/11","S08000029","SMR04"," ",1450,1460,1180,1020,"280"," "
"2010/11","S08000019","Total","d",1390,1400,1150,960,"190"," "
"2010/11","S08000019","SMR01"," ",250,240,180,160," ",":"
"2010/11","S08000019","SMR04"," ",1140,1150,970,810,"190"," "
"2010/11","S08000020","Total","d",3210,3220,2630,2040,"300"," "
"2010/11","S08000020","SMR01"," ",1260,1260,820,700," ",":"
"2010/11","S08000020","SMR04"," ",1940,1950,1810,1400,"300"," "
"2010/11","S08000031","Total","d",9470,9420,7580,6050,"1140"," "
"2010/11","S08000031","SMR01"," ",4380,4370,3290,2650," ",":"
"2010/11","S08000031","SMR04"," ",5090,5060,4290,3660,"1140"," "
"2010/11","S08000022","Total","d",2110,2170,2010,1610,"200"," "
"2010/11","S08000022","SMR01"," ",870,890,760,650," ",":"
"2010/11","S08000022","SMR04"," ",1240,1280,1250,1040,"200"," "
"2010/11","S08000032","Total","d",3970,4010,3290,2660,"360"," "
"2010/11","S08000032","SMR01"," ",1620,1620,1160,980," ",":"
"2010/11","S08000032","SMR04"," ",2350,2400,2120,1780,"360"," "
"2010/11","S08000024","Total","d",5340,5360,4360,3620,"630"," "
"2010/11","S08000024","SMR01"," ",2260,2250,1540,1410," ",":"
"2010/11","S08000024","SMR04"," ",3080,3110,2820,2400,"630"," "
"2010/11","S08000025","Total","d",60,60,60,50,"0"," "
"2010/11","S08000025","SMR01"," ",60,60,60,50," ",":"
"2010/11","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2010/11","S08000026","Total","d",70,70,70,60,"0"," "
"2010/11","S08000026","SMR01"," ",70,70,70,60," ",":"
"2010/11","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2010/11","S08000030","Total","d",2400,2440,2200,1810,"300"," "
"2010/11","S08000030","SMR01"," ",520,520,450,430," ",":"
"2010/11","S08000030","SMR04"," ",1880,1920,1740,1440,"300"," "
"2010/11","S08000028","Total","d",160,160,140,120,"20"," "
"2010/11","S08000028","SMR01"," ",90,90,80,70," ",":"
"2010/11","S08000028","SMR04"," ",70,70,70,50,"20"," "
"2010/11","SB0802","Total","d",130,130,10,90,"140"," "
"2010/11","SB0802","SMR01"," ",0,0,0,0," ",":"
"2010/11","SB0802","SMR04"," ",130,130,10,90,"140"," "
"2011/12","S08000015","Total","d",2470,2500,2200,1730,"250"," "
"2011/12","S08000015","SMR01"," ",940,950,840,680," ",":"
"2011/12","S08000015","SMR04"," ",1530,1550,1360,1120,"250"," "
"2011/12","S08000016","Total","d",830,830,720,560,"80"," "
"2011/12","S08000016","SMR01"," ",280,280,250,220," ",":"
"2011/12","S08000016","SMR04"," ",550,550,470,360,"80"," "
"2011/12","S08000017","Total","d",1210,1220,1020,660,"60"," "
"2011/12","S08000017","SMR01"," ",470,470,400,250," ",":"
"2011/12","S08000017","SMR04"," ",740,760,620,470,"60"," "
"2011/12","S08000029","Total","d",2260,2270,1730,1420,"250"," "
"2011/12","S08000029","SMR01"," ",820,810,490,460," ",":"
"2011/12","S08000029","SMR04"," ",1440,1460,1240,1010,"250"," "
"2011/12","S08000019","Total","d",1360,1360,1140,990,"180"," "
"2011/12","S08000019","SMR01"," ",340,330,280,250," ",":"
"2011/12","S08000019","SMR04"," ",1020,1030,860,770,"180"," "
"2011/12","S08000020","Total","d",3400,3400,2720,2080,"290"," "
"2011/12","S08000020","SMR01"," ",1450,1440,900,730," ",":"
"2011/12","S08000020","SMR04"," ",1950,1960,1820,1420,"290"," "
"2011/12","S08000031","Total","d",9790,9850,7780,6240,"1100"," "
"2011/12","S08000031","SMR01"," ",4730,4750,3490,2750," ",":"
"2011/12","S08000031","SMR04"," ",5060,5100,4280,3700,"1100"," "
"2011/12","S08000022","Total","d",2100,2130,1900,1510,"170"," "
"2011/12","S08000022","SMR01"," ",900,900,730,610," ",":"
"2011/12","S08000022","SMR04"," ",1200,1230,1180,1000,"170"," "
"2011/12","S08000032","Total","d",4100,4100,3320,2700,"350"," "
"2011/12","S08000032","SMR01"," ",1770,1770,1240,1050," ",":"
"2011/12","S08000032","SMR04"," ",2320,2330,2080,1750,"350"," "
"2011/12","S08000024","Total","d",5730,5770,4650,3840,"600"," "
"2011/12","S08000024","SMR01"," ",2520,2540,1720,1550," ",":"
"2011/12","S08000024","SMR04"," ",3210,3240,2920,2480,"600"," "
"2011/12","S08000025","Total","d",60,60,60,50,"0"," "
"2011/12","S08000025","SMR01"," ",60,60,60,50," ",":"
"2011/12","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2011/12","S08000026","Total","d",90,90,90,60,"0"," "
"2011/12","S08000026","SMR01"," ",90,90,90,60," ",":"
"2011/12","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2011/12","S08000030","Total","d",2550,2560,2180,1830,"280"," "
"2011/12","S08000030","SMR01"," ",670,660,520,490," ",":"
"2011/12","S08000030","SMR04"," ",1880,1900,1660,1390,"280"," "
"2011/12","S08000028","Total","d",150,160,140,120,"20"," "
"2011/12","S08000028","SMR01"," ",90,90,80,70," ",":"
"2011/12","S08000028","SMR04"," ",60,60,60,60,"20"," "
"2011/12","SB0802","Total","d",280,280,0,140,"140"," "
"2011/12","SB0802","SMR01"," ",0,0,0,0," ",":"
"2011/12","SB0802","SMR04"," ",280,280,0,140,"140"," "
"2012/13","S08000015","Total","d",2230,2250,1980,1510,"230"," "
"2012/13","S08000015","SMR01"," ",930,920,800,630," ",":"
"2012/13","S08000015","SMR04"," ",1300,1330,1180,940,"230"," "
"2012/13","S08000016","Total","d",780,800,680,530,"60"," "
"2012/13","S08000016","SMR01"," ",270,270,240,210," ",":"
"2012/13","S08000016","SMR04"," ",510,520,450,340,"60"," "
"2012/13","S08000017","Total","d",1120,1130,980,620,"70"," "
"2012/13","S08000017","SMR01"," ",470,470,400,240," ",":"
"2012/13","S08000017","SMR04"," ",660,660,580,420,"70"," "
"2012/13","S08000029","Total","d",2380,2380,1880,1490,"240"," "
"2012/13","S08000029","SMR01"," ",1000,990,670,590," ",":"
"2012/13","S08000029","SMR04"," ",1380,1390,1210,960,"240"," "
"2012/13","S08000019","Total","d",1490,1500,1240,1060,"180"," "
"2012/13","S08000019","SMR01"," ",410,420,310,280," ",":"
"2012/13","S08000019","SMR04"," ",1080,1080,930,810,"180"," "
"2012/13","S08000020","Total","d",3390,3370,2700,2140,"320"," "
"2012/13","S08000020","SMR01"," ",1320,1340,870,730," ",":"
"2012/13","S08000020","SMR04"," ",2060,2030,1830,1490,"320"," "
"2012/13","S08000031","Total","d",9610,9660,7500,6130,"1060"," "
"2012/13","S08000031","SMR01"," ",4410,4420,3170,2540," ",":"
"2012/13","S08000031","SMR04"," ",5210,5250,4330,3820,"1060"," "
"2012/13","S08000022","Total","d",2110,2100,1860,1480,"170"," "
"2012/13","S08000022","SMR01"," ",890,890,700,600," ",":"
"2012/13","S08000022","SMR04"," ",1220,1210,1170,970,"170"," "
"2012/13","S08000032","Total","d",4150,4160,3350,2640,"340"," "
"2012/13","S08000032","SMR01"," ",1800,1790,1190,980," ",":"
"2012/13","S08000032","SMR04"," ",2360,2370,2160,1740,"340"," "
"2012/13","S08000024","Total","d",5890,5900,4660,3910,"580"," "
"2012/13","S08000024","SMR01"," ",2770,2750,1800,1650," ",":"
"2012/13","S08000024","SMR04"," ",3120,3150,2860,2420,"580"," "
"2012/13","S08000025","Total","d",60,60,60,50,"0"," "
"2012/13","S08000025","SMR01"," ",60,60,60,50," ",":"
"2012/13","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2012/13","S08000026","Total","d",80,80,80,70,"0"," "
"2012/13","S08000026","SMR01"," ",80,80,80,70," ",":"
"2012/13","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2012/13","S08000030","Total","d",2660,2620,2220,1820,"320"," "
"2012/13","S08000030","SMR01"," ",680,680,520,490," ",":"
"2012/13","S08000030","SMR04"," ",1980,1940,1700,1390,"320"," "
"2012/13","S08000028","Total","d",150,160,140,120,"20"," "
"2012/13","S08000028","SMR01"," ",90,100,80,70," ",":"
"2012/13","S08000028","SMR04"," ",60,60,60,50,"20"," "
"2012/13","SB0802","Total","d",110,110,10,80,"130"," "
